,Date time,Solar Energy (kWh),tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2022-03-01,31.9,13.8,6.7,20.6,0.0,,304.0,6.8,,1022.3,
1,2022-03-02,36.2,13.2,8.3,21.1,0.0,,297.0,6.1,,1018.2,
2,2022-03-03,16.9,12.1,9.4,13.9,1.3,,297.0,4.7,,1012.8,
3,2022-03-04,23.9,12.2,8.3,14.4,1.0,,267.0,20.2,,1015.2,
4,2022-03-05,34.1,9.6,5.0,15.6,0.0,,315.0,12.6,,1019.4,
5,2022-03-06,39.7,9.4,3.9,16.1,0.0,,22.0,9.4,,1024.8,
6,2022-03-07,41.0,10.6,4.4,20.6,0.0,,34.0,9.7,,1026.2,
7,2022-03-08,39.9,13.3,5.0,22.2,0.0,,6.0,6.5,,1020.8,
8,2022-03-09,40.3,12.3,6.7,17.2,0.0,,272.0,13.3,,1016.2,
9,2022-03-10,42.9,12.3,6.1,21.1,0.0,,40.0,11.9,,1019.6,
10,2022-03-11,41.5,12.5,4.4,21.7,0.0,,6.0,8.3,,1025.5,
11,2022-03-12,41.4,12.1,5.6,18.3,0.0,,311.0,10.8,,1023.5,
12,2022-03-13,35.9,13.1,8.3,17.8,0.0,,,11.9,,,
13,2022-03-14,40.9,12.2,6.1,21.1,0.0,,351.0,7.9,,1024.7,
14,2022-03-15,33.7,14.9,10.6,18.9,2.0,,251.0,11.9,,1024.5,
15,2022-03-16,43.7,12.8,9.4,18.3,0.0,,257.0,8.3,,1022.9,
16,2022-03-17,42.7,12.0,8.9,15.6,0.0,,270.0,9.4,,1021.8,
17,2022-03-18,43.1,11.9,6.7,20.0,0.0,,304.0,9.4,,1019.5,
18,2022-03-19,18.4,11.9,8.3,13.3,1.3,,263.0,10.4,,1016.5,
19,2022-03-20,46.0,11.4,5.6,17.2,0.0,,295.0,12.2,,1021.4,
20,2022-03-21,44.5,12.0,7.2,19.4,0.0,,196.0,8.6,,1023.2,
21,2022-03-22,43.6,16.9,10.6,27.8,0.0,,302.0,8.6,,1020.0,
22,2022-03-23,45.4,14.3,9.4,17.8,0.0,,285.0,8.6,,1020.8,
23,2022-03-24,45.7,12.6,7.8,18.3,0.0,,305.0,9.7,,1018.9,
24,2022-03-25,47.4,11.5,8.9,17.8,0.0,,260.0,8.6,,1017.8,
25,2022-03-26,47.2,12.2,6.7,18.9,0.0,,297.0,9.4,,1012.7,
26,2022-03-27,32.8,13.6,10.0,18.9,2.0,,198.0,13.0,,1006.7,
27,2022-03-28,35.8,13.7,9.4,17.2,10.9,,241.0,13.7,,1007.3,
28,2022-03-29,45.0,12.4,10.6,13.9,0.0,,251.0,14.8,,1017.2,
29,2022-03-30,33.6,11.2,10.0,14.4,0.0,,243.0,16.6,,1020.2,
30,2022-03-31,47.8,11.9,8.3,17.8,0.0,,239.0,9.4,,1014.9,
31,2022-04-01,48.1,12.7,7.2,21.7,0.0,,290.0,10.8,,1014.1,
32,2022-04-02,47.2,13.1,7.8,22.2,0.0,,265.0,8.6,,1015.8,
33,2022-04-03,49.9,14.3,8.3,18.3,0.0,,272.0,13.7,,1015.8,
34,2022-04-04,48.3,13.1,10.0,18.3,0.0,,273.0,15.5,,1019.8,
35,2022-04-05,49.4,14.1,8.9,20.0,0.0,,286.0,11.9,,1021.3,
36,2022-04-06,48.5,15.6,8.3,27.2,0.0,,353.0,9.0,,1019.3,
37,2022-04-07,46.9,20.3,11.7,31.7,0.0,,346.0,7.9,,1018.6,
38,2022-04-08,48.0,19.8,11.7,23.3,0.0,,275.0,10.8,,1017.3,
39,2022-04-09,51.5,13.8,8.3,19.4,0.0,,267.0,11.5,,1015.9,
40,2022-04-10,49.4,14.0,7.2,19.4,0.0,,298.0,16.2,,1015.1,
41,2022-04-11,46.4,11.7,7.8,13.9,3.3,,278.0,29.5,,1014.6,
42,2022-04-12,51.1,10.1,5.0,14.4,0.0,,307.0,20.9,,1022.8,
43,2022-04-13,48.7,9.9,5.6,15.0,0.0,,248.0,12.6,,1023.8,
