tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
13.8,6.7,20.6,0.0,,304.0,6.8,,1022.3,
13.2,8.3,21.1,0.0,,292.0,6.1,,1018.2,
12.1,9.4,13.9,1.3,,297.0,4.7,,1012.8,
12.2,8.3,14.4,1.0,,268.0,20.2,,1015.2,
9.6,5.0,15.6,0.0,,315.0,12.6,,1019.4,
9.4,3.9,16.1,0.0,,22.0,9.4,,1024.8,
10.6,4.4,20.6,0.0,,34.0,9.7,,1026.2,
13.3,5.0,22.2,0.0,,6.0,6.5,,1020.8,
12.3,6.7,17.2,0.0,,272.0,13.3,,1016.2,
12.3,6.1,21.1,0.0,,40.0,11.9,,1019.6,
12.5,4.4,21.7,0.0,,6.0,8.3,,1025.5,
12.1,5.6,18.3,0.0,,311.0,10.8,,1023.5,
13.1,8.3,17.8,0.0,,,11.9,,,
12.2,6.1,21.1,0.0,,351.0,7.9,,1024.7,
14.9,10.6,18.9,2.0,,250.0,11.9,,1024.5,
12.8,9.4,18.3,0.0,,257.0,8.3,,1022.9,
12.0,8.9,15.6,0.0,,270.0,9.4,,1021.8,
11.9,6.7,20.0,0.0,,304.0,9.4,,1019.5,
11.9,8.3,13.3,1.3,,263.0,10.4,,1016.5,
11.4,5.6,17.2,0.0,,295.0,12.2,,1021.4,
12.0,7.2,19.4,0.0,,196.0,8.6,,1023.2,
16.9,10.6,27.8,0.0,,302.0,8.6,,1020.0,
14.3,9.4,17.8,0.0,,285.0,8.6,,1020.8,
12.6,7.8,18.3,0.0,,305.0,9.7,,1018.9,
11.5,8.9,17.8,0.0,,260.0,8.6,,1017.8,
12.2,6.7,18.9,0.0,,297.0,9.4,,1012.7,
13.6,10.0,18.9,2.0,,198.0,13.0,,1006.7,
13.7,9.4,17.2,10.9,,241.0,13.7,,1007.3,
12.4,10.6,13.9,0.0,,248.0,14.8,,1017.1,
11.2,10.0,14.4,0.0,,243.0,16.6,,1020.2,
11.9,8.3,17.8,0.0,,239.0,9.4,,1014.9,
12.7,7.2,21.7,0.0,,290.0,10.8,,1014.1,
13.1,7.8,22.2,0.0,,265.0,8.6,,1015.8,
14.3,8.3,18.3,0.0,,272.0,13.7,,1015.8,
