Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2022-03-01T02:00:00-07:00,19.2,31.9,9.9,1.1,-12.8
2022-03-02T02:00:00-07:00,19.7,36.2,10.4,1.0,-17.2
2022-03-03T02:00:00-07:00,23.7,16.9,12.1,4.6,-0.1
2022-03-04T02:00:00-07:00,18.0,23.9,2.9,6.5,-3.3
2022-03-05T02:00:00-07:00,7.9,34.1,3.6,0.1,-25.5
2022-03-06T02:00:00-07:00,11.7,39.7,7.4,0.1,-31.2
2022-03-07T02:00:00-07:00,34.6,41.0,16.3,3.2,-11.9
2022-03-08T02:00:00-07:00,22.3,39.9,6.1,5.6,-18.3
2022-03-09T02:00:00-07:00,19.5,40.3,11.1,0.1,-21.4
2022-03-10T02:00:00-07:00,25.8,42.9,8.9,3.3,-17.4
2022-03-11T02:00:00-07:00,19.3,41.5,8.3,2.5,-22.2
2022-03-12T02:00:00-07:00,21.8,41.4,11.5,0.1,-20.0
2022-03-13T02:00:00-07:00,19.1,35.9,9.7,0.7,-16.7
2022-03-14T01:00:00-07:00,22.0,40.9,10.4,1.7,-20.0
2022-03-15T01:00:00-07:00,20.0,33.7,8.3,2.2,-13.4
2022-03-16T01:00:00-07:00,22.0,43.7,10.1,0.5,-21.4
2022-03-17T01:00:00-07:00,19.6,42.7,8.1,0.1,-20.9
2022-03-18T01:00:00-07:00,27.9,43.1,10.6,0.2,-14.5
2022-03-19T01:00:00-07:00,27.7,18.4,13.6,4.9,-0.2
2022-03-20T01:00:00-07:00,26.5,46.0,6.1,4.9,-18.3
2022-03-21T01:00:00-07:00,19.9,44.5,10.6,0.9,-25.2
2022-03-22T01:00:00-07:00,19.7,43.6,9.1,1.6,-23.8
2022-03-23T01:00:00-07:00,18.2,45.4,7.9,0.4,-24.8
2022-03-24T01:00:00-07:00,19.0,45.7,10.3,0.3,-26.4
2022-03-25T01:00:00-07:00,16.7,47.4,8.5,0.1,-29.2
2022-03-26T01:00:00-07:00,17.4,47.2,7.7,0.1,-28.8
2022-03-27T01:00:00-07:00,23.0,32.8,13.2,1.3,-15.9
2022-03-28T01:00:00-07:00,22.5,35.8,7.8,6.0,-16.1
2022-03-29T01:00:00-07:00,22.2,45.0,8.7,3.4,-24.0
2022-03-30T01:00:00-07:00,23.0,33.6,10.1,4.1,-13.6
2022-03-31T01:00:00-07:00,29.2,47.8,10.8,4.0,-22.0
