Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2022-11-01T00:00:00-08:00,24.6,16.3,8.3,9.5,-0.1
2022-11-02T00:00:00-08:00,24.6,22.5,10.4,6.5,-3.5
2022-11-03T00:00:00-08:00,27.2,25.5,9.8,10.9,-8.0
2022-11-04T00:00:00-08:00,29.3,22.7,11.1,8.0,-0.2
2022-11-05T00:00:00-08:00,31.2,12.9,3.5,18.9,-0.1
2022-11-06T00:00:00-08:00,18.3,22.9,7.1,3.4,-3.9
2022-11-07T01:00:00-08:00,25.1,20.2,13.0,4.8,-1.8
2022-11-08T01:00:00-08:00,25.8,17.0,8.4,10.2,-0.2
2022-11-09T01:00:00-08:00,27.4,18.0,9.8,10.6,-0.2
2022-11-10T01:00:00-08:00,33.0,23.2,12.0,11.2,-0.1
2022-11-11T01:00:00-08:00,28.3,14.5,8.7,12.1,-0.1
2022-11-12T01:00:00-08:00,29.8,21.4,10.8,9.7,-0.1
2022-11-13T01:00:00-08:00,24.8,22.7,9.3,4.9,-1.2
2022-11-14T01:00:00-08:00,27.6,21.4,10.6,9.7,-3.0
2022-11-15T01:00:00-08:00,28.7,21.6,9.8,8.4,-0.1
2022-11-16T01:00:00-08:00,27.8,21.1,10.0,7.8,-0.1
2022-11-17T01:00:00-08:00,32.5,16.8,7.2,16.5,-0.1
2022-11-18T01:00:00-08:00,30.1,20.6,10.4,10.6,-0.1
2022-11-19T01:00:00-08:00,27.2,19.9,11.0,8.7,-0.5
2022-11-20T01:00:00-08:00,26.4,20.2,10.2,8.2,-0.9
2022-11-21T01:00:00-08:00,27.3,18.6,8.2,9.8,-0.1
2022-11-22T01:00:00-08:00,27.1,18.2,7.3,9.8,-0.1
2022-11-23T01:00:00-08:00,24.2,19.0,9.0,6.4,-0.1
2022-11-24T01:00:00-08:00,30.0,18.5,9.2,12.4,-0.1
2022-11-25T01:00:00-08:00,25.7,17.2,8.2,9.5,-0.1
2022-11-26T01:00:00-08:00,21.9,18.7,8.1,6.1,-0.1
2022-11-27T01:00:00-08:00,23.3,15.8,9.3,6.6,-0.1
2022-11-28T01:00:00-08:00,30.7,18.6,9.7,13.2,-0.1
2022-11-29T01:00:00-08:00,28.0,18.3,7.4,10.6,-0.1
2022-11-30T01:00:00-08:00,25.8,18.1,8.2,8.7,-0.1
