Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-04-01T00:00:00-07:00,8.6,3.6,50.0,0.0,40.7
2023-04-02T00:00:00-07:00,17.6,11.7,39.6,0.9,30.3
2023-04-03T00:00:00-07:00,43.7,8.8,46.3,13.4,13.4
2023-04-04T00:00:00-07:00,38.5,8.2,51.3,12.8,23.4
2023-04-05T00:00:00-07:00,23.6,6.9,50.7,3.3,26.4
2023-04-06T00:00:00-07:00,22.0,10.6,41.0,0.1,19.7
2023-04-07T00:00:00-07:00,19.8,9.3,23.1,0.3,2.1
2023-04-08T00:00:00-07:00,22.3,9.3,44.0,0.6,21.2
2023-04-09T00:00:00-07:00,24.7,9.9,50.3,0.8,25.9
2023-04-10T00:00:00-07:00,21.0,8.6,50.7,0.7,28.4
2023-04-11T00:00:00-07:00,17.4,8.1,50.4,0.1,31.0
2023-04-12T00:00:00-07:00,20.0,10.3,54.9,0.1,35.1
2023-04-13T00:00:00-07:00,20.0,9.3,54.3,2.0,35.3
2023-04-14T00:00:00-07:00,18.3,7.4,55.6,1.7,35.9
2023-04-15T00:00:00-07:00,29.0,10.7,54.5,7.5,33.3
2023-04-16T00:00:00-07:00,24.2,8.4,54.7,3.7,32.2
2023-04-17T00:00:00-07:00,30.9,11.8,44.8,7.0,22.4
2023-04-18T00:00:00-07:00,31.9,9.0,50.2,10.3,27.0
2023-04-19T00:00:00-07:00,31.5,7.8,55.9,11.9,33.7
2023-04-20T00:00:00-07:00,20.5,8.5,54.2,0.0,32.4
2023-04-21T00:00:00-07:00,22.9,9.9,52.2,0.0,29.2
2023-04-22T00:00:00-07:00,19.7,9.2,53.5,0.3,33.9
2023-04-23T00:00:00-07:00,31.5,9.2,56.5,0.4,23.2
2023-04-24T00:00:00-07:00,16.9,8.8,57.5,0.0,39.1
2023-04-25T00:00:00-07:00,17.0,7.9,54.8,0.0,35.4
2023-04-26T00:00:00-07:00,16.6,9.0,53.7,0.0,36.6
2023-04-27T00:00:00-07:00,15.9,7.0,53.4,0.0,35.8
2023-04-28T00:00:00-07:00,22.5,9.6,54.4,0.0,31.5
2023-04-29T00:00:00-07:00,15.6,5.0,56.8,0.0,37.7
2023-04-30T00:00:00-07:00,25.5,10.4,54.5,0.0,33.8
