Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-08-01T00:00:00-07:00,18.3,7.7,57.7,0.0,38.2
2023-08-02T00:00:00-07:00,20.7,7.3,57.1,0.0,34.7
2023-08-03T00:00:00-07:00,17.3,8.4,48.1,0.0,30.6
2023-08-04T00:00:00-07:00,20.3,7.8,54.4,0.0,33.5
2023-08-05T00:00:00-07:00,27.4,9.8,52.3,0.1,25.1
2023-08-06T00:00:00-07:00,24.1,7.8,51.7,0.0,25.2
2023-08-07T00:00:00-07:00,18.9,6.5,51.9,0.0,29.7
2023-08-08T00:00:00-07:00,20.7,8.6,54.5,0.0,35.7
2023-08-09T00:00:00-07:00,16.4,9.2,52.5,0.0,35.2
2023-08-10T00:00:00-07:00,15.8,6.8,53.6,0.3,34.7
2023-08-11T00:00:00-07:00,26.2,8.8,52.2,0.0,27.6
2023-08-12T00:00:00-07:00,24.7,10.2,50.1,0.0,25.1
2023-08-13T00:00:00-07:00,21.6,6.9,47.4,0.4,22.6
2023-08-14T00:00:00-07:00,23.3,11.6,39.5,0.1,18.5
2023-08-15T00:00:00-07:00,22.9,7.8,48.2,3.9,26.6
2023-08-16T00:00:00-07:00,23.2,9.0,46.8,2.2,24.6
2023-08-17T00:00:00-07:00,21.1,9.5,49.3,1.3,28.7
2023-08-18T00:00:00-07:00,14.3,5.1,44.9,0.9,26.2
2023-08-19T00:00:00-07:00,12.9,6.3,50.0,0.2,38.2
2023-08-20T00:00:00-07:00,19.8,7.4,45.7,0.0,26.3
2023-08-21T00:00:00-07:00,17.2,8.5,35.8,0.0,17.2
2023-08-22T00:00:00-07:00,17.9,9.8,44.8,0.0,27.6
2023-08-23T00:00:00-07:00,21.9,8.0,44.3,1.7,21.6
2023-08-24T00:00:00-07:00,21.3,9.1,46.7,1.8,25.8
2023-08-25T00:00:00-07:00,20.4,9.6,44.3,0.0,23.1
2023-08-26T00:00:00-07:00,20.5,8.4,47.4,0.0,25.4
2023-08-27T00:00:00-07:00,18.3,7.8,46.5,0.0,26.8
2023-08-28T00:00:00-07:00,21.7,8.8,45.7,0.0,24.0
2023-08-29T00:00:00-07:00,18.7,9.8,46.2,0.0,27.5
2023-08-30T00:00:00-07:00,18.7,7.7,43.1,0.5,22.3
2023-08-31T00:00:00-07:00,21.4,10.2,43.9,0.5,22.5
