Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-12-01T00:00:00-08:00,20.8,7.4,17.7,5.5,0.0
2023-12-02T00:00:00-08:00,17.3,5.5,9.9,6.7,0.0
2023-12-03T00:00:00-08:00,20.0,6.0,13.7,7.1,0.0
2023-12-04T00:00:00-08:00,24.6,6.8,16.0,9.6,0.0
2023-12-05T00:00:00-08:00,24.2,7.3,15.2,9.9,0.0
2023-12-06T00:00:00-08:00,29.4,3.2,8.1,21.8,0.0
2023-12-07T00:00:00-08:00,26.9,3.2,10.8,16.7,0.0
2023-12-08T00:00:00-08:00,38.4,6.1,16.8,22.6,0.0
2023-12-09T00:00:00-08:00,38.9,6.2,15.9,23.7,0.0
2023-12-10T00:00:00-08:00,25.3,7.4,14.6,11.6,0.0
2023-12-11T00:00:00-08:00,22.0,6.9,14.5,8.3,0.0
2023-12-12T00:00:00-08:00,25.9,8.2,16.9,10.0,0.0
2023-12-13T00:00:00-08:00,30.4,5.9,13.9,17.2,0.0
2023-12-14T00:00:00-08:00,28.9,6.3,15.0,14.8,0.0
2023-12-15T00:00:00-08:00,25.6,7.6,15.4,11.1,0.0
2023-12-16T00:00:00-08:00,25.5,8.9,15.4,11.1,0.0
2023-12-17T00:00:00-08:00,27.0,1.9,6.4,21.1,0.0
2023-12-18T00:00:00-08:00,19.2,6.9,11.7,8.5,0.0
2023-12-19T00:00:00-08:00,19.9,4.5,11.0,9.4,0.0
2023-12-20T00:00:00-08:00,22.2,0.2,3.3,19.1,0.0
2023-12-21T00:00:00-08:00,21.7,2.9,10.3,11.8,0.0
2023-12-22T00:00:00-08:00,28.0,4.6,15.1,13.6,0.0
2023-12-23T00:00:00-08:00,28.6,7.8,15.9,13.7,0.0
2023-12-24T00:00:00-08:00,23.5,4.2,14.4,12.3,0.0
2023-12-25T00:00:00-08:00,11.9,8.7,14.1,0.3,1.0
2023-12-26T00:00:00-08:00,11.8,5.1,12.1,2.4,0.0
2023-12-27T00:00:00-08:00,9.7,5.6,8.9,0.0,0.0
2023-12-28T00:00:00-08:00,7.4,4.6,12.8,0.0,0.0
2023-12-29T00:00:00-08:00,7.1,4.9,9.2,0.0,1.6
2023-12-30T00:00:00-08:00,7.7,4.9,13.7,0.0,5.2
2023-12-31T00:00:00-08:00,7.8,5.0,11.9,0.0,3.4
