Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-02-01T00:00:00-08:00,36.0,9.5,25.0,17.7,5.7
2023-02-02T00:00:00-08:00,43.4,4.7,21.3,22.8,0.0
2023-02-03T00:00:00-08:00,33.8,3.0,10.4,24.0,0.0
2023-02-04T00:00:00-08:00,40.4,4.5,15.3,25.8,0.0
2023-02-05T00:00:00-08:00,38.1,9.6,24.0,19.8,4.6
2023-02-06T00:00:00-08:00,36.0,10.0,27.7,16.1,6.6
2023-02-07T00:00:00-08:00,30.9,8.1,25.5,15.1,7.3
2023-02-08T00:00:00-08:00,39.5,11.3,28.1,15.9,4.8
2023-02-09T00:00:00-08:00,32.3,7.1,28.1,14.7,6.9
2023-02-10T00:00:00-08:00,33.6,11.9,26.3,13.4,7.4
2023-02-11T00:00:00-08:00,39.0,10.3,21.4,19.7,1.0
2023-02-12T00:00:00-08:00,31.3,5.4,30.5,14.8,8.6
2023-02-13T00:00:00-08:00,34.7,13.7,30.6,11.5,10.5
2023-02-14T00:00:00-08:00,34.9,9.4,27.3,16.8,8.0
2023-02-15T00:00:00-08:00,37.5,9.5,32.2,16.0,9.6
2023-02-16T00:00:00-08:00,34.9,9.6,26.1,14.0,4.2
2023-02-17T00:00:00-08:00,39.5,7.8,32.2,14.2,4.0
2023-02-18T00:00:00-08:00,20.0,10.2,29.4,4.4,13.5
2023-02-19T00:00:00-08:00,19.9,8.4,30.7,5.1,13.8
2023-02-20T00:00:00-08:00,24.8,11.3,29.3,5.2,10.4
2023-02-21T00:00:00-08:00,30.5,9.3,31.8,12.1,12.2
2023-02-22T00:00:00-08:00,40.5,9.5,33.4,18.6,10.7
2023-02-23T00:00:00-08:00,43.1,7.8,26.8,18.3,0.8
2023-02-24T00:00:00-08:00,25.9,8.9,22.9,7.5,2.7
2023-02-25T00:00:00-08:00,28.4,8.7,20.2,15.0,5.1
2023-02-26T00:00:00-08:00,34.2,4.3,13.8,19.5,0.0
2023-02-27T00:00:00-08:00,44.7,2.1,12.3,32.9,0.0
2023-02-28T00:00:00-08:00,38.0,8.7,19.7,20.1,0.6
