Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2023-01-01T01:00:00-08:00,7.4,17.8,2.1,2.7,-4.3
2023-01-02T01:00:00-08:00,13.6,4.9,9.8,1.7,-0.1
2023-01-03T01:00:00-08:00,36.8,6.3,0,41.5,-0.2
2023-01-04T01:00:00-08:00,24.5,7.7,0.5,18.4,-1.7
2023-01-05T01:00:00-08:00,22.4,7.5,10.0,10.7,-2.1
2023-01-06T01:00:00-08:00,20.6,15.8,9.2,4.1,-0.1
2023-01-07T01:00:00-08:00,21.3,4.6,1.6,16.3,0
2023-01-08T01:00:00-08:00,23.0,14.8,0.2,19.8,-1.1
2023-01-09T01:00:00-08:00,19.3,9.9,9.4,4.2,-3.8
2023-01-10T01:00:00-08:00,22.2,11.7,10.2,12.4,-0.6
2023-01-11T01:00:00-08:00,21.1,5.6,1.9,15.4,0
2023-01-12T01:00:00-08:00,23.0,17.2,9.5,6.9,-0.1
2023-01-13T01:00:00-08:00,26.3,6.4,2.2,20.1,0
2023-01-14T01:00:00-08:00,22.4,10.2,4.1,12.9,-0.1
2023-01-15T01:00:00-08:00,25.1,7.6,3.1,17.9,0
2023-01-16T01:00:00-08:00,22.3,20.1,10.1,5.8,-2.7
2023-01-17T01:00:00-08:00,25.2,20.8,9.9,7.1,-1.6
2023-01-18T01:00:00-08:00,25.3,17.7,10.0,8.9,-0.1
2023-01-19T01:00:00-08:00,29.1,20.1,9.6,10.1,-0.1
2023-01-20T01:00:00-08:00,30.4,22.2,9.7,9.3,-0.1
2023-01-21T01:00:00-08:00,21.6,22.1,9.4,7.1,-5.1
2023-01-22T01:00:00-08:00,24.6,22.8,11.0,7.3,-5.6
2023-01-23T01:00:00-08:00,25.5,23.2,10.2,7.1,-3.4
2023-01-24T01:00:00-08:00,20.4,22.9,8.1,5.3,-4.8
2023-01-25T01:00:00-08:00,23.3,22.9,11.9,4.6,-5.3
2023-01-26T01:00:00-08:00,20.0,23.3,8.1,4.8,-4.3
2023-01-27T01:00:00-08:00,22.8,23.2,11.0,2.9,-2.5
2023-01-28T01:00:00-08:00,27.3,24.3,13.3,4.3,-2.6
2023-01-29T01:00:00-08:00,39.0,11.1,4.6,28.5,-0.1
2023-01-30T01:00:00-08:00,36.0,25.5,9.9,17.1,-5.5
2023-01-31T01:00:00-08:00,33.7,25.8,9.6,16.0,-7.0
