Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-07-01T00:00:00-07:00,10.0,3.6,56.8,0.0,45.7
2023-07-02T00:00:00-07:00,28.1,7.7,58.8,0.0,33.7
2023-07-03T00:00:00-07:00,25.2,9.5,60.6,0.0,35.4
2023-07-04T00:00:00-07:00,23.8,7.2,62.6,1.5,36.7
2023-07-05T00:00:00-07:00,20.0,7.8,63.0,0.0,41.9
2023-07-06T00:00:00-07:00,10.9,4.1,58.6,0.0,44.9
2023-07-07T00:00:00-07:00,10.3,4.2,50.1,0.0,39.3
2023-07-08T00:00:00-07:00,11.9,3.5,61.5,0.0,48.3
2023-07-09T00:00:00-07:00,16.9,6.0,52.2,0.0,35.3
2023-07-10T00:00:00-07:00,18.0,7.0,59.5,0.0,41.6
2023-07-11T00:00:00-07:00,10.9,4.7,59.1,0.0,46.0
2023-07-12T00:00:00-07:00,11.0,5.2,61.1,0.0,50.2
2023-07-13T00:00:00-07:00,24.9,9.2,59.1,0.0,36.8
2023-07-14T00:00:00-07:00,23.1,7.2,57.6,0.0,31.4
2023-07-15T00:00:00-07:00,15.0,5.3,56.7,0.0,38.8
2023-07-16T00:00:00-07:00,21.6,9.6,53.1,0.0,35.0
2023-07-17T00:00:00-07:00,23.5,9.1,56.2,1.6,32.7
2023-07-18T00:00:00-07:00,17.6,7.2,59.0,0.2,38.5
2023-07-19T00:00:00-07:00,18.5,8.4,60.0,0.0,42.0
2023-07-20T00:00:00-07:00,22.1,6.6,57.3,0.0,32.2
2023-07-21T00:00:00-07:00,22.8,8.3,55.8,0.0,34.2
2023-07-22T00:00:00-07:00,33.8,11.7,54.9,0.0,22.0
2023-07-23T00:00:00-07:00,22.8,7.3,52.1,2.0,28.0
2023-07-24T00:00:00-07:00,21.4,8.9,57.1,0.0,34.5
2023-07-25T00:00:00-07:00,19.0,7.7,56.3,0.0,35.9
2023-07-26T00:00:00-07:00,21.1,8.9,56.9,0.0,35.2
2023-07-27T00:00:00-07:00,21.2,8.7,58.5,0.4,37.3
2023-07-28T00:00:00-07:00,25.1,8.9,57.5,0.3,31.8
2023-07-29T00:00:00-07:00,18.3,6.7,56.9,2.0,36.8
2023-07-30T00:00:00-07:00,14.8,7.1,56.8,0.0,42.2
2023-07-31T00:00:00-07:00,18.7,8.3,55.7,0.0,36.5
