Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-06-01T00:00:00-07:00,21.8,6.6,62.5,0.0,39.0
2023-06-02T00:00:00-07:00,23.8,7.5,62.7,0.2,38.8
2023-06-03T00:00:00-07:00,21.3,6.0,61.2,0.0,38.4
2023-06-04T00:00:00-07:00,18.6,6.2,61.8,0.0,42.6
2023-06-05T00:00:00-07:00,18.1,8.5,54.8,0.0,37.1
2023-06-06T00:00:00-07:00,17.1,8.8,40.7,0.3,22.0
2023-06-07T00:00:00-07:00,17.0,6.7,47.6,0.0,26.9
2023-06-08T00:00:00-07:00,21.5,7.4,61.0,0.0,39.5
2023-06-09T00:00:00-07:00,20.4,7.4,53.9,0.0,33.8
2023-06-10T00:00:00-07:00,15.2,5.2,48.3,0.0,30.7
2023-06-11T00:00:00-07:00,22.5,7.1,55.1,0.0,32.5
2023-06-12T00:00:00-07:00,18.5,6.1,54.7,0.0,35.3
2023-06-13T00:00:00-07:00,18.4,6.1,60.4,0.1,41.5
2023-06-14T00:00:00-07:00,20.7,6.0,60.4,0.0,38.1
2023-06-15T00:00:00-07:00,22.2,7.9,61.5,0.0,39.2
2023-06-16T00:00:00-07:00,21.3,6.3,62.4,0.0,40.2
2023-06-17T00:00:00-07:00,17.2,7.3,61.6,0.0,44.6
2023-06-18T00:00:00-07:00,17.2,6.0,64.1,0.0,45.0
2023-06-19T00:00:00-07:00,16.6,5.2,63.2,0.0,45.0
2023-06-20T00:00:00-07:00,18.2,6.2,62.8,0.0,43.9
2023-06-21T00:00:00-07:00,20.9,6.2,63.2,0.0,42.0
2023-06-22T00:00:00-07:00,18.5,8.2,60.9,0.0,41.4
2023-06-23T00:00:00-07:00,23.4,7.6,55.6,0.0,31.8
2023-06-24T00:00:00-07:00,22.4,6.5,58.4,0.1,34.2
2023-06-25T00:00:00-07:00,23.9,8.9,50.4,0.0,26.7
2023-06-26T00:00:00-07:00,17.7,6.9,58.2,0.0,37.5
2023-06-27T00:00:00-07:00,20.1,6.5,57.3,0.0,36.4
2023-06-28T00:00:00-07:00,19.0,6.8,61.4,0.0,42.3
2023-06-29T00:00:00-07:00,23.8,7.3,59.6,0.1,36.1
2023-06-30T00:00:00-07:00,18.8,4.7,57.3,0.0,34.4
