Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-03-01T00:00:00-08:00,42.2,10.1,39.1,16.1,11.8
2023-03-02T00:00:00-08:00,35.7,8.2,38.0,13.9,13.8
2023-03-03T00:00:00-08:00,37.7,11.5,32.4,15.5,10.2
2023-03-04T00:00:00-08:00,36.8,9.6,25.5,15.7,3.3
2023-03-05T00:00:00-08:00,43.8,9.7,42.2,17.5,14.8
2023-03-06T00:00:00-08:00,38.6,9.5,32.0,17.6,10.0
2023-03-07T00:00:00-08:00,37.1,9.9,30.5,16.5,8.8
2023-03-08T00:00:00-08:00,39.3,9.6,38.6,16.4,14.5
2023-03-09T00:00:00-08:00,31.8,6.5,11.8,20.8,0.0
2023-03-10T00:00:00-08:00,25.2,7.1,25.1,12.8,9.3
2023-03-11T00:00:00-08:00,26.1,11.7,25.8,10.2,11.2
2023-03-12T00:00:00-08:00,33.4,0.1,16.2,28.2,0.7
2023-03-13T00:00:00-07:00,27.4,0.0,38.9,19.3,30.4
2023-03-14T00:00:00-07:00,19.2,2.2,26.0,11.6,20.6
2023-03-15T00:00:00-07:00,40.8,15.5,38.1,8.2,10.4
2023-03-16T00:00:00-07:00,33.8,6.9,43.7,14.5,20.8
2023-03-17T00:00:00-07:00,40.8,12.5,40.6,11.7,13.1
2023-03-18T00:00:00-07:00,32.6,6.5,28.2,12.1,3.6
2023-03-19T00:00:00-07:00,29.7,9.2,15.6,11.1,0.0
2023-03-20T00:00:00-07:00,31.8,8.7,45.1,14.0,25.3
2023-03-21T00:00:00-07:00,37.7,3.3,9.8,27.6,0.1
2023-03-22T00:00:00-07:00,37.0,9.5,21.8,16.9,0.7
2023-03-23T00:00:00-07:00,41.3,8.9,43.5,13.8,14.3
2023-03-24T00:00:00-07:00,40.3,7.3,48.1,13.9,18.3
2023-03-25T00:00:00-07:00,33.1,10.2,48.3,11.1,25.8
2023-03-26T00:00:00-07:00,38.5,8.3,49.3,14.1,22.7
2023-03-27T00:00:00-07:00,35.6,11.4,46.5,12.2,24.0
2023-03-28T00:00:00-07:00,37.5,10.3,22.2,16.0,0.7
2023-03-29T00:00:00-07:00,37.3,7.3,21.7,17.3,0.7
2023-03-30T00:00:00-07:00,37.8,7.8,40.6,13.6,13.4
2023-03-31T00:00:00-07:00,27.4,3.2,48.3,12.1,25.7
