Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-05-01T00:00:00-07:00,39.2,4.6,12.5,25.2,0.0
2023-05-02T00:00:00-07:00,31.4,9.3,30.6,12.8,10.1
2023-05-03T00:00:00-07:00,35.9,10.2,29.7,14.4,8.0
2023-05-04T00:00:00-07:00,36.3,8.3,32.2,13.2,6.2
2023-05-05T00:00:00-07:00,34.8,11.1,35.9,13.3,15.1
2023-05-06T00:00:00-07:00,26.1,1.6,40.3,13.1,18.5
2023-05-07T00:00:00-07:00,30.9,12.0,55.8,4.1,30.5
2023-05-08T00:00:00-07:00,22.3,11.4,40.0,0.0,20.3
2023-05-09T00:00:00-07:00,24.3,8.1,58.2,6.4,37.9
2023-05-10T00:00:00-07:00,28.0,10.4,46.8,5.8,24.6
2023-05-11T00:00:00-07:00,28.4,7.5,59.1,10.5,38.4
2023-05-12T00:00:00-07:00,32.5,7.7,59.0,3.8,27.2
2023-05-13T00:00:00-07:00,24.1,8.2,57.6,0.0,33.4
2023-05-14T00:00:00-07:00,18.6,6.8,59.5,0.0,38.4
2023-05-15T00:00:00-07:00,16.7,5.8,59.3,0.0,40.7
2023-05-16T00:00:00-07:00,16.3,7.1,58.6,0.0,43.8
2023-05-17T00:00:00-07:00,15.4,6.8,61.7,0.0,44.7
2023-05-18T00:00:00-07:00,21.5,7.5,62.3,0.0,39.5
2023-05-19T00:00:00-07:00,20.2,7.7,61.1,0.0,41.5
2023-05-20T00:00:00-07:00,20.6,8.7,50.6,0.0,28.5
2023-05-21T00:00:00-07:00,24.9,7.6,58.8,6.2,37.3
2023-05-22T00:00:00-07:00,21.0,8.1,61.6,0.1,41.3
2023-05-23T00:00:00-07:00,15.4,6.8,57.2,0.0,40.2
2023-05-24T00:00:00-07:00,17.8,7.5,59.1,0.0,39.8
2023-05-25T00:00:00-07:00,20.2,8.0,57.5,0.0,37.9
2023-05-26T00:00:00-07:00,20.7,8.8,51.7,0.0,29.7
2023-05-27T00:00:00-07:00,14.5,5.2,56.7,0.0,38.4
2023-05-28T00:00:00-07:00,16.2,7.7,34.7,0.0,21.4
2023-05-29T00:00:00-07:00,13.8,4.7,60.7,0.0,43.0
2023-05-30T00:00:00-07:00,18.5,8.0,59.4,0.0,42.7
2023-05-31T00:00:00-07:00,24.8,8.3,57.1,0.0,30.3
