Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-11-01T00:00:00-07:00,23.7,10.8,21.6,3.1,0.7
2023-11-02T00:00:00-07:00,22.5,7.7,20.3,5.4,0.0
2023-11-03T00:00:00-07:00,20.0,10.4,21.0,1.5,2.1
2023-11-04T00:00:00-07:00,10.8,5.7,20.3,0.4,5.2
2023-11-05T00:00:00-07:00,18.9,9.3,20.7,0.1,3.4
2023-11-06T00:00:00-08:00,16.2,11.0,20.1,0.3,4.7
2023-11-07T00:00:00-08:00,23.2,12.0,22.1,3.1,3.3
2023-11-08T00:00:00-08:00,21.4,7.1,22.0,8.1,5.6
2023-11-09T00:00:00-08:00,25.6,11.3,19.0,5.6,0.0
2023-11-10T00:00:00-08:00,33.5,9.2,20.4,14.6,0.5
2023-11-11T00:00:00-08:00,21.2,7.6,20.5,6.7,3.3
2023-11-12T00:00:00-08:00,20.7,7.3,19.8,6.7,2.8
2023-11-13T00:00:00-08:00,23.4,12.6,20.4,1.3,0.2
2023-11-14T00:00:00-08:00,20.5,9.2,19.7,4.6,2.8
2023-11-15T00:00:00-08:00,26.2,4.0,10.4,15.8,0.0
2023-11-16T00:00:00-08:00,26.0,7.1,14.3,12.7,0.0
2023-11-17T00:00:00-08:00,18.5,4.8,11.1,8.0,0.0
2023-11-18T00:00:00-08:00,9.0,2.5,14.9,3.7,1.7
2023-11-19T00:00:00-08:00,8.1,5.1,19.3,0.0,10.9
2023-11-20T00:00:00-08:00,23.6,14.3,19.0,0.0,0.3
2023-11-21T00:00:00-08:00,19.7,9.3,16.2,4.1,0.0
2023-11-22T00:00:00-08:00,26.9,5.2,15.6,12.0,0.0
2023-11-23T00:00:00-08:00,19.4,8.8,18.1,6.6,3.7
2023-11-24T00:00:00-08:00,21.6,8.7,18.6,3.6,0.0
2023-11-25T00:00:00-08:00,26.0,4.4,17.8,8.9,0.0
2023-11-26T00:00:00-08:00,26.2,6.0,14.2,12.9,0.0
2023-11-27T00:00:00-08:00,30.4,9.3,17.3,14.1,0.0
2023-11-28T00:00:00-08:00,23.8,9.2,17.4,7.6,0.2
2023-11-29T00:00:00-08:00,25.4,9.2,18.4,8.4,0.1
2023-11-30T00:00:00-08:00,25.8,5.8,17.2,9.3,0.0
