Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-10-01T00:00:00-07:00,18.3,9.1,34.2,0.0,15.3
2023-10-02T00:00:00-07:00,16.5,8.4,33.1,0.2,15.0
2023-10-03T00:00:00-07:00,16.9,9.0,32.3,0.0,14.5
2023-10-04T00:00:00-07:00,21.5,11.8,31.6,0.6,12.3
2023-10-05T00:00:00-07:00,23.1,8.7,31.4,3.7,10.2
2023-10-06T00:00:00-07:00,24.6,11.9,30.9,1.9,9.4
2023-10-07T00:00:00-07:00,18.3,4.0,30.4,5.5,11.3
2023-10-08T00:00:00-07:00,16.2,7.7,31.1,0.0,14.0
2023-10-09T00:00:00-07:00,17.1,10.2,14.8,0.1,0.1
2023-10-10T00:00:00-07:00,14.4,7.2,28.1,1.3,11.8
2023-10-11T00:00:00-07:00,18.7,10.0,31.4,0.3,12.4
2023-10-12T00:00:00-07:00,20.5,9.5,29.6,3.5,11.9
2023-10-13T00:00:00-07:00,21.0,10.0,24.8,2.5,6.1
2023-10-14T00:00:00-07:00,17.8,8.3,26.6,3.5,10.2
2023-10-15T00:00:00-07:00,19.7,6.8,27.9,1.9,6.4
2023-10-16T00:00:00-07:00,19.8,10.8,23.6,0.5,4.9
2023-10-17T00:00:00-07:00,15.6,8.8,27.6,0.7,11.3
2023-10-18T00:00:00-07:00,17.7,9.6,27.0,1.2,10.0
2023-10-19T00:00:00-07:00,24.0,11.5,26.2,2.1,4.8
2023-10-20T00:00:00-07:00,18.6,8.8,19.4,3.3,2.1
2023-10-21T00:00:00-07:00,14.6,9.5,23.4,1.0,9.1
2023-10-22T00:00:00-07:00,23.6,9.3,17.5,7.1,0.2
2023-10-23T00:00:00-07:00,18.1,8.9,26.4,3.6,10.7
2023-10-24T00:00:00-07:00,17.6,8.3,26.7,2.9,10.0
2023-10-25T00:00:00-07:00,18.4,10.8,18.3,1.0,0.8
2023-10-26T00:00:00-07:00,22.2,10.1,26.2,4.7,8.7
2023-10-27T00:00:00-07:00,31.1,10.7,25.4,7.1,1.6
2023-10-28T00:00:00-07:00,21.2,0.3,25.9,20.8,15.2
2023-10-29T00:00:00-07:00,20.4,6.4,25.0,5.7,16.7
2023-10-30T00:00:00-07:00,21.2,10.1,24.3,2.5,4.8
2023-10-31T00:00:00-07:00,20.2,8.6,24.3,3.7,6.1
