Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2023-09-01T00:00:00-07:00,22.1,9.6,25.0,1.8,3.7
2023-09-02T00:00:00-07:00,14.7,7.6,14.4,0.0,0.0
2023-09-03T00:00:00-07:00,17.4,6.5,44.7,0.3,23.0
2023-09-04T00:00:00-07:00,23.4,6.2,43.9,0.0,19.6
2023-09-05T00:00:00-07:00,17.9,9.9,42.0,0.0,25.5
2023-09-06T00:00:00-07:00,19.5,9.1,42.5,2.1,23.9
2023-09-07T00:00:00-07:00,18.6,7.7,42.6,0.0,21.5
2023-09-08T00:00:00-07:00,24.4,10.2,41.0,0.9,17.1
2023-09-09T00:00:00-07:00,20.2,9.0,41.4,1.1,20.6
2023-09-10T00:00:00-07:00,15.8,7.6,41.5,0.0,23.6
2023-09-11T00:00:00-07:00,19.6,9.2,41.0,0.4,21.3
2023-09-12T00:00:00-07:00,18.4,10.2,40.9,0.2,23.3
2023-09-13T00:00:00-07:00,16.2,8.9,39.9,0.4,22.8
2023-09-14T00:00:00-07:00,15.3,8.1,39.4,0.1,22.0
2023-09-15T00:00:00-07:00,26.0,11.7,38.4,0.6,14.2
2023-09-16T00:00:00-07:00,22.2,8.7,33.0,1.8,10.2
2023-09-17T00:00:00-07:00,18.0,7.7,38.7,0.4,18.4
2023-09-18T00:00:00-07:00,17.9,9.2,37.8,0.5,19.3
2023-09-19T00:00:00-07:00,15.1,8.1,37.1,0.0,21.3
2023-09-20T00:00:00-07:00,17.6,9.1,37.0,0.0,19.6
2023-09-21T00:00:00-07:00,20.1,7.9,37.0,1.0,15.4
2023-09-22T00:00:00-07:00,22.9,10.4,35.9,0.1,13.9
2023-09-23T00:00:00-07:00,14.7,7.7,37.4,0.9,20.9
2023-09-24T00:00:00-07:00,18.2,8.1,37.2,0.8,17.6
2023-09-25T00:00:00-07:00,11.6,7.0,35.6,0.0,23.5
2023-09-26T00:00:00-07:00,16.2,8.9,32.0,0.0,17.1
2023-09-27T00:00:00-07:00,16.4,7.9,34.0,2.3,17.5
2023-09-28T00:00:00-07:00,20.1,12.0,33.3,1.5,16.4
2023-09-29T00:00:00-07:00,18.2,7.5,22.4,2.8,4.2
2023-09-30T00:00:00-07:00,18.5,8.9,20.4,2.1,1.5
