Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2024-01-01T00:00:00-08:00,14.7,11.7,16.5,0.3,7.9
2024-01-02T00:00:00-08:00,29.8,5.2,12.7,17.9,0.0
2024-01-03T00:00:00-08:00,31.0,1.2,10.3,21.1,0.0
2024-01-04T00:00:00-08:00,34.5,2.9,16.6,18.7,0.0
2024-01-05T00:00:00-08:00,28.3,6.7,17.5,11.7,0.0
2024-01-06T00:00:00-08:00,38.9,0.2,7.6,31.4,0.0
2024-01-07T00:00:00-08:00,31.2,7.4,17.7,14.6,0.0
2024-01-08T00:00:00-08:00,27.1,6.9,17.1,10.8,0.0
2024-01-09T00:00:00-08:00,22.1,7.5,13.4,9.6,0.0
2024-01-10T00:00:00-08:00,28.8,1.4,7.5,21.6,0.0
2024-01-11T00:00:00-08:00,32.4,3.9,17.7,15.8,0.0
2024-01-12T00:00:00-08:00,32.3,3.5,13.4,19.4,0.0
2024-01-13T00:00:00-08:00,27.8,0.3,4.5,23.6,0.0
2024-01-14T00:00:00-08:00,23.8,6.7,15.9,8.9,0.0
2024-01-15T00:00:00-08:00,22.5,8.8,19.2,4.4,0.0
2024-01-16T00:00:00-08:00,25.5,4.8,11.3,14.7,0.0
2024-01-17T00:00:00-08:00,23.6,7.7,17.6,7.2,0.0
2024-01-18T00:00:00-08:00,30.3,6.6,15.1,15.9,0.0
2024-01-19T00:00:00-08:00,25.8,0.2,4.8,21.2,0.0
2024-01-20T00:00:00-08:00,25.1,3.3,8.8,17.0,0.0
2024-01-21T00:00:00-08:00,30.3,1.5,12.3,18.5,0.0
2024-01-22T00:00:00-08:00,27.4,4.0,10.7,17.3,0.0
2024-01-23T00:00:00-08:00,33.2,8.5,17.0,17.2,0.0
2024-01-24T00:00:00-08:00,40.4,3.1,9.0,31.8,0.0
2024-01-25T00:00:00-08:00,30.3,7.5,18.1,16.2,1.1
2024-01-26T00:00:00-08:00,25.2,7.5,14.2,10.2,0.0
2024-01-27T00:00:00-08:00,28.6,5.8,18.6,11.0,0.0
2024-01-28T00:00:00-08:00,24.5,8.2,19.8,6.3,0.0
2024-01-29T00:00:00-08:00,23.9,9.2,21.0,6.2,2.3
2024-01-30T00:00:00-08:00,18.7,7.0,19.6,4.5,1.7
2024-01-31T00:00:00-08:00,24.2,3.0,2.2,19.1,0.0
